name,status,description,date,time
** Disclaimer: ,,"User generated list, not moderated by Candor beyond merging duplicate entries and removing abusive language. This list does not reflect Candor's views and opinions and we do not guarantee or imply that it's accurate. ",,
100 Thieves,Hiring,,4/6/2020,5:35pm
1010data,Hiring,All roles on website are opened for hiring,3/28/2020,4:13pm
10x Genomics,"Hiring,Hiring freeze",Actively hiring across the organisation,4/4/2020,10:59am
12,Hiring,,4/3/2020,1:16am
123FormBuilder,Hiring,,4/17/2020,9:45am
15Five,Hiring freeze,,4/8/2020,4:29pm
160over90,Hiring freeze,,3/28/2020,5:42pm
1978,"Hiring,Hiring freeze",,4/10/2020,1:32pm
1A- Product Ventures ,Hiring,"Product, dev, design, agile coach, user research",4/4/2020,11:49am
1Password,Hiring freeze,,4/15/2020,7:36pm
1stdibs,Layoffs,-1 report of hiring freeze,4/15/2020,7:06pm
1winbet,Hiring,hackingservice,4/13/2020,1:55am
22nd century technologies ,"Hiring,Hiring freeze",,4/4/2020,11:16am
22squared,"Hiring,Hiring freeze",+1 report of hiring and +1 report of a hiring freeze.,4/15/2020,1:40pm
23andMe,Hiring freeze,Full-stop hiring freeze for now; summer 2020 internship program cancelled,3/28/2020,3:47pm
24 Hour Fitness,Layoffs,Only critical staff on site.,4/14/2020,12:22pm
24 Seven Talent,Layoffs,,4/5/2020,10:41am
2K,Hiring,Hiring for both Publishing and Studios. https://2k.com/en-US/jobs/,4/1/2020,1:20pm
2U,Hiring freeze,Multiple reports of a hiring freeze. Details below:,3/30/2020,2:58pm
3 Birds Marketing,Layoffs,5 reports on 4/15,3/30/2020,11:32pm
360i,"Hiring freeze,Hiring",4 reports of hiring freezes. 1 report of hiring.,4/10/2020,4:56pm
3dhubs,Hiring,,3/30/2020,6:01am
3i Infotech,Hiring,,4/9/2020,2:14am
3M,"Hiring,Hiring freeze",Multiple reports of continued hiring and a hiring freeze. See below:,4/5/2020,9:08am
3N,Hiring,,3/31/2020,5:34pm
3Play Media,Hiring,"Hiring for Business Development Representatives, Account Executives, and Account Managers",3/30/2020,9:46pm
3q digital,"Hiring,Hiring freeze",Reports of a hiring freeze. Details below:,4/9/2020,12:16pm
3rd I visuals,Hiring,Business development,4/3/2020,1:35pm
4 Degrees,Hiring,,4/2/2020,11:25pm
4Degrees,Hiring,+3 reports of hiring,3/31/2020,3:12pm
5CA,Hiring,,4/4/2020,2:45am
6sense,Hiring,"All Roles, hiring extensively in India",4/1/2020,3:20pm
7-11,"Hiring,Hiring freeze",1 report of a hiring freeze,4/11/2020,7:46pm
7Geese,Hiring freeze,Across the company,3/30/2020,3:50pm
84 lambord,Hiring,,4/4/2020,3:15am
84 lambort,Hiring,,4/15/2020,7:54pm
8x8,"Hiring,Hiring freeze",,4/3/2020,4:29pm
99.co,Hiring,,4/2/2020,5:21am
a cloud,Hiring,,4/7/2020,3:58pm
A Cultivated Mindset ,Hiring,,3/31/2020,11:25am
A&E Networks,Hiring freeze,3 reports of hiring freezes,4/3/2020,2:31pm
a-connect,Hiring freeze,,4/4/2020,11:45am
A.T. Kearney,Hiring freeze,,4/7/2020,2:27am
A2zroomz,Layoffs,1 report of layoff for Sales Outbound Executive (4/6),4/3/2020,9:07am
A^3 by Airbus,Hiring freeze,,4/6/2020,4:16pm
AAA,"Hiring freeze,Hiring",Reports of a hiring freeze and hiring. See below:,4/6/2020,1:38pm
AAA Club Alliance,Hiring,"Insurance, Car Care, Fleet Drivers",4/7/2020,1:44pm
AAM,Hiring freeze,,4/10/2020,3:23am
AARP,Hiring,3 reports of hiring,4/1/2020,1:51pm
AB InBev,Hiring,Confirmed by employee that they are still hiring. Some internships might be affected.,3/28/2020,4:27pm
Abacus Insights,Hiring,"Actively hiring across all teams in Boston, NYC, and remotely.",3/31/2020,10:24am
Abacus Technologies,Hiring,100% Remote during Crisis,4/3/2020,5:53pm
ABB,"Hiring freeze,Hiring",Multiple reports of a hiring freeze and hiring. See below:,4/10/2020,6:41pm
Abbott,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. See below:,4/5/2020,11:39am
"AbbVie, inc. ","Hiring,Hiring freeze",Reports of continued hiring and a hiring freeze. Details below:,4/10/2020,12:44pm
ABC,"Hiring freeze,Hiring",Disney-wide internships canceled. One report of hiring.,4/17/2020,1:25pm
ABC Work,Hiring,,4/14/2020,6:06pm
ABClonal,Hiring freeze,,4/8/2020,3:19pm
abercrombie & fitch,Hiring freeze,furloughs for some functions ,4/3/2020,10:57pm
ABIM,Hiring,,4/2/2020,10:39am
Able,Hiring,All roles on the website are open and actively interviewing/hiring,3/31/2020,4:25pm
Ably Realtime,Hiring,"Recently funded and growing, ref jobs.ably.io",3/29/2020,6:44am
ABM,Hiring,,4/1/2020,11:31am
ABS,"Hiring,Hiring freeze",,4/5/2020,8:55am
AbsenceSoft,Layoffs,"IT, Sales, Marketing, Product, Support",4/7/2020,3:34pm
Absolunet,Layoffs,,3/31/2020,7:45pm
Absolute Software,Hiring freeze,All roles,4/15/2020,12:41pm
Abstract,Hiring,Confirmed by person in  the company- they are filling essential roles only,3/28/2020,4:20pm
Abt Associates,Hiring,,4/9/2020,12:46pm
"Abtrex Industries, Inc.",Hiring,"Currently hiring tradespeople, welders, procurement professionals and QA/QC technicians",4/2/2020,3:09pm
Academia.edu,Hiring freeze,,3/30/2020,3:56pm
Academic Travel Abroad,Hiring freeze,,4/7/2020,1:33pm
academy,Hiring,,4/6/2020,3:50pm
ACAMS,Hiring,,3/30/2020,1:06pm
Accela,Hiring,,3/31/2020,7:59pm
accentura,Hiring,back end developer,4/16/2020,7:48pm
Accenture,"Hiring,Hiring freeze",Multiple reports of continued hiring and a hiring freeze. Details below:,4/10/2020,4:52pm
ACCO Brands,Hiring,,4/8/2020,7:14pm
Accor,Hiring freeze,,4/14/2020,7:52am
Accruent,Hiring freeze,Multiple reports of a hiring freeze and continued hiring. Details below:,4/1/2020,1:35pm
Accton,Hiring,,4/11/2020,12:15am
AcctTwo,Hiring freeze,,3/30/2020,7:34pm
Accudata,Hiring,,4/14/2020,11:19am
AccuLynx,Hiring,"Software Engineers, Platform Team",3/30/2020,4:39pm
Accuracy,Hiring freeze,Analyst Positions,4/3/2020,9:59am
AccuReference,Hiring freeze,Some employees on reduced hours,3/31/2020,3:43pm
Ace ,Hiring freeze,,3/30/2020,11:52am
ACE Parking,Layoffs,Hotel Valet Parking sites closed. ,4/3/2020,8:52pm
Aceable,Hiring,,3/30/2020,8:53pm
AceInfo Solutions,Hiring,Apply at www.aceinfosolutions.com,4/3/2020,8:26am
"AceUp, Inc.",Hiring,"Account Executives (Sales), Full-Stack Developers (Engineering)",4/2/2020,10:35am
Acklen Avenue,Hiring,,4/6/2020,12:30pm
ACLU,"Hiring,Hiring freeze",,4/9/2020,12:43pm
ACOG,Hiring freeze,,4/10/2020,11:31pm
Acorns,Hiring,Candor confirmed with verified company representative,3/30/2020,1:49pm
Acoustic,Hiring,,4/1/2020,6:50am
Acquia,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. See below:,4/5/2020,11:42am
Active network,Hiring,,3/31/2020,6:10pm
ActiveCampaign,Hiring,,3/30/2020,2:14pm
Activeprospect,Hiring,,3/30/2020,1:55pm
Actria,Hiring,Advanced Analytic Project Leaders Manager (5 years of eco),4/12/2020,8:18pm
Acuity,Hiring,,3/31/2020,3:47pm
Acumen,"Hiring freeze,Hiring",,4/7/2020,2:26pm
Acunetix,Hiring,,3/30/2020,7:39am
ACV Auctions,Hiring,,4/16/2020,1:49pm
Acxiom,Hiring,"Hiring in Poland is freezed, only offers in US",3/31/2020,12:31am
Ad Practitioners,Hiring,"UX Designers, Platform Product Managers, Email Marketing Specialist, Media Buyers, Media Specialist, PPC Marketing, among others ",4/17/2020,8:46am
Ada Support,Hiring freeze,,4/11/2020,8:31pm
Adam & Eve Stores,Hiring,Models,4/10/2020,2:34am
Adani,Hiring,,4/9/2020,7:18am
Adaptiva,Hiring,Non-Devs,4/16/2020,6:57pm
Adaptive Biotechnologies,Hiring,2 reports of hiring,3/31/2020,2:02pm
Adapty Solutions ,Hiring freeze,,4/9/2020,2:35am
Adara,"Hiring freeze,Layoffs",,3/31/2020,9:47pm
ADB SAFEGATE,Hiring freeze,Whole Company,4/1/2020,7:47am
AdColony,Hiring freeze,,4/1/2020,12:01pm
Addepar,Hiring,Confirmed with company HR rep- hiring is continuing for all roles and interviews are happening by video.,3/28/2020,10:58pm
Addison Group,Hiring freeze,All roles,4/9/2020,4:41pm
AddSearch,Hiring freeze,"Right before the final interview, was told that all hiring will be put on hold until further notice.",4/10/2020,6:35am
Adecco,Hiring,,4/2/2020,9:51am
Adens Tyres,Hiring,"Sales, IT, Amazon",4/4/2020,1:26pm
Adeva,Hiring,Hiring actively,3/30/2020,4:39am
Adevinta (Formerly Schibsted),Hiring freeze,global,3/30/2020,7:16am
AdGear,Hiring,,3/31/2020,1:40pm
AdHawk,Hiring freeze,It appears to be across the board. Had an interview cancelled at the last minute this morning.,4/6/2020,11:21am
Adidas,Hiring freeze,internships cancelled ,3/28/2020,2:04am
Adient,"Hiring freeze,Hiring",,4/5/2020,9:03am
Adjust,"Hiring,Hiring freeze",Reports of hiring and a hiring freeze. See below:,4/9/2020,1:59pm
Adludio,Hiring,www.adludio.com,4/8/2020,12:46pm
ADM,Hiring,,4/13/2020,9:06am
adMarketplace,Layoffs,1/3 of employees got laid off including tech team and the rest of employees received paycut,3/31/2020,7:29pm
admiral,Hiring,,3/30/2020,12:30pm
ADNOC,Hiring,,4/2/2020,6:21am
Adobe,"Hiring freeze,Hiring",Multiple reports of a hiring freeze and continued hiring. See below:,3/31/2020,9:49pm
Adobe Systems India Pvt. Ltd.,"Hiring freeze,Hiring",,4/9/2020,11:54am
ADP,Hiring,Verified HR employee reached out to Candor and confirmed hiring is continuing as normal. Additional reports and details below:,3/28/2020,7:41am
adQuadrant,Hiring,"We are looking for a Director of Sales, paid media buyers, and Marketing Managers",3/31/2020,7:18pm
Adracare Inc,Hiring,"With unprecedented demand for virtual care, Adracare is hiring : https://angel.co/company/adracare/jobs",4/11/2020,9:07pm
ADroll,Layoffs,Multiple claims of layoffs. See below:,3/31/2020,7:30am
Adtalem Global Education ,Hiring,,3/30/2020,1:06pm
ADTRAN,Hiring,,4/1/2020,11:53am
ADVA,Hiring,,3/28/2020,7:15pm
Advantasure,Hiring,"Healthcare IT, Claims, Agile roles, Jira",4/2/2020,7:49pm
AdventHealth,Hiring freeze,"A central Florida hospital. Most positions are hiring freeze, and only Nurse related jobs are still opening right now.",3/29/2020,5:28pm
Adventist Health,Hiring freeze,,3/30/2020,11:45pm
Advisory Board Company,Hiring freeze,,3/28/2020,5:12pm
Adyen,Hiring,,3/28/2020,1:57pm
AECOM,"Hiring,Hiring freeze",Multiple reports of continued hiring and a hiring freeze. Details below:,4/4/2020,2:07pm
AECOM GURGAON,Hiring,,4/7/2020,5:14am
AEG,Hiring,AEG has cut ALL employee salaries by 20% and all entities are on hiring freeze,3/30/2020,1:47pm
Aegion,Hiring,,4/2/2020,2:01am
AEI,Hiring freeze,internship,3/31/2020,6:04pm
aeromexico,Hiring,,3/31/2020,12:40pm
Aerotek,"Hiring,Hiring freeze",Aerotek internal has a hiring freeze but we are hiring for clients as they request!,4/9/2020,11:48am
